Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C
30-08-2019,92.3,93.55,89.1,92.6
29-08-2019,94,96,91.35,91.8
28-08-2019,97.2,97.65,93.75,94.5
27-08-2019,97,99.2,96.65,97.3
26-08-2019,99.9,99.9,91.5,95.05
23-08-2019,90.75,94.6,89.9,93.5
22-08-2019,94.3,95,89.65,90.65
21-08-2019,98.7,99.7,93.3,94.85
20-08-2019,102.25,102.25,97.85,98.7
19-08-2019,102.7,103.2,101.15,102.6
16-08-2019,100.05,103.25,99.45,102.45
14-08-2019,98.35,101.5,98.1,101.1
13-08-2019,100,102.4,97.1,98.1
09-08-2019,100.75,101.7,98.7,99.85
08-08-2019,98.45,101.1,96.5,100.05
07-08-2019,104.4,105.75,97.05,97.6
06-08-2019,102,105.2,101.85,104.2
05-08-2019,104.2,104.2,99.2,103.15
02-08-2019,104.6,107,102.9,104.9
01-08-2019,105,107.15,102.8,105.55
31-07-2019,102.35,107.4,101.7,106.7
30-07-2019,109.1,109.9,101.35,102.65
29-07-2019,112.5,112.85,108.6,109
26-07-2019,112,114.2,110,112.55
25-07-2019,110.4,111.1,108.3,109.55
24-07-2019,112.6,113.75,109.2,110.2
23-07-2019,118.8,119.15,112.05,112.5
22-07-2019,118,119.35,115.85,118.35
19-07-2019,122.25,122.7,116.85,118
18-07-2019,127.35,127.35,121.05,121.35
17-07-2019,124.2,128.4,123.25,127.3
16-07-2019,121,124.7,120.5,124.2
15-07-2019,125.5,125.7,121.65,122
12-07-2019,125.95,127.3,124.95,125.95
11-07-2019,125,126.5,123.9,126
10-07-2019,126.75,127.25,123.7,124.25
09-07-2019,123.9,126.4,122.75,125.9
08-07-2019,130.2,130.9,123.1,124.65
05-07-2019,130,132.85,127.2,130.45
04-07-2019,126,131,126,129.4
03-07-2019,120.9,126.15,119.55,125.5
02-07-2019,121.7,121.95,120.1,120.5
01-07-2019,122.9,123,119.85,121.25
28-06-2019,121,125.6,120.5,121.6
27-06-2019,122,123,120.25,121.4
26-06-2019,119.65,121.8,119.15,121.45
25-06-2019,118.2,120.4,117.7,120
24-06-2019,118.35,119.95,117.4,118.25
21-06-2019,118.6,119.45,117.2,118.05
20-06-2019,116.2,119,115.25,118.5
19-06-2019,118,119.2,114.3,115.8
18-06-2019,117.3,118.4,115.1,116.5
17-06-2019,119.35,119.45,116.05,116.6
14-06-2019,121.3,121.85,118.1,119.1
13-06-2019,121.25,122,117.1,121.05
12-06-2019,121.3,122.45,119.95,121.3
11-06-2019,119,122,117.55,121.3
10-06-2019,123.3,124.6,117.3,117.95
07-06-2019,123,124.8,120.35,121.3
06-06-2019,132.95,132.95,122.25,124.35
04-06-2019,131.6,135.1,130.7,132.6
03-06-2019,133.9,133.9,129.2,131.55
31-05-2019,137,138.15,130,133.25
30-05-2019,136,137.75,134.25,135.1
29-05-2019,139.05,139.1,135.7,136.35
28-05-2019,140.75,143.5,136.8,139.8
27-05-2019,137.3,141.7,136.4,140.95
24-05-2019,129.4,138.4,128.65,137.35
23-05-2019,129,144,126.55,127.55
22-05-2019,126.7,128,124.95,126.15
21-05-2019,123.2,127.3,122,125.8
20-05-2019,117.9,124.7,115.2,122.9
17-05-2019,109.75,113.15,107.7,112.25
16-05-2019,108.15,110.4,105.8,109.8
15-05-2019,110.3,110.3,107,107.8
14-05-2019,106.8,110.85,104.25,109.8
13-05-2019,113.2,113.45,104.8,105.8
10-05-2019,112.3,114.95,110.75,113.65
09-05-2019,111.15,112.65,109.9,111.35
08-05-2019,112.6,113.85,110.25,110.95
07-05-2019,117,117.45,112,112.55
06-05-2019,117,118.6,115.55,116
03-05-2019,117.05,120.45,116.5,119.05
02-05-2019,116,117.95,114.85,115.9
30-04-2019,123,123,113.75,116.65
26-04-2019,123.2,124,121.65,123.25
25-04-2019,125.2,125.75,121.5,122
24-04-2019,123.9,125.45,122.7,125.1
23-04-2019,123.8,126.7,122.7,123.1
22-04-2019,126.05,126.4,123.15,123.8
18-04-2019,130.85,131.05,125.75,126.55
16-04-2019,131.1,131.55,130,130.9
15-04-2019,131.4,132.2,129.8,130.75
12-04-2019,128.7,132,127.9,131.15
11-04-2019,129.55,130.2,127.7,128.7
10-04-2019,131.95,132.7,129.1,129.7
09-04-2019,130.4,132.65,127.75,132.05
08-04-2019,131.3,134.4,129.35,130
05-04-2019,131.95,132.85,128.8,130.6
04-04-2019,133.2,134,130.2,131.2
03-04-2019,134.4,137.15,131.35,132.05
02-04-2019,133.7,135.4,130.8,133.2
01-04-2019,133,137.3,130.25,132.7
29-03-2019,130.95,133.1,127.65,128.65
28-03-2019,121.75,131.4,121.55,130.1
27-03-2019,122.4,123.45,120.3,121.55
26-03-2019,119.1,122.15,118.75,120.8
25-03-2019,118.9,118.9,116.4,118.2
22-03-2019,126.05,126.95,119.3,120.1
20-03-2019,125.15,127.15,123.1,125.2
19-03-2019,121.2,125.85,121.05,124.4
18-03-2019,118.25,121.4,117.9,120.55
15-03-2019,116.4,119.85,116,118.15
14-03-2019,116,117.9,114.4,116.55
13-03-2019,115.75,117.65,113.55,115.55
12-03-2019,116.95,117.8,114.45,115.35
11-03-2019,114.5,117.2,114.25,116.05
08-03-2019,115.65,116.85,113.05,113.6
07-03-2019,112,116.9,111.15,115.2
