Date,PNB-EQ O,PNB-EQ H,PNB-EQ L,PNB-EQ C
30-08-2019,65.25,65.9,63.35,64.9
29-08-2019,65.55,66.15,63.75,65.05
28-08-2019,67.3,67.95,64.9,65.65
27-08-2019,66.8,68.2,66.3,67.15
26-08-2019,68,68,63.4,65.75
23-08-2019,61.5,64,60.95,63.6
22-08-2019,64.1,64.3,61.1,61.45
21-08-2019,65.75,66.4,63.25,64.05
20-08-2019,67.5,67.75,64.6,65.6
19-08-2019,67.95,69.1,66.9,67.3
16-08-2019,65.55,68.45,64.95,68.1
14-08-2019,65.9,66.35,64.9,65.55
13-08-2019,66.7,67.55,65.05,65.35
09-08-2019,66.75,67.55,65.55,66.55
08-08-2019,64.6,66.9,64.2,66.65
07-08-2019,68.25,68.7,63.55,64.05
06-08-2019,66.7,68.35,66.1,67.95
05-08-2019,67,68.25,64.4,66.6
02-08-2019,67.5,68.9,66.7,67.65
01-08-2019,69,69.2,66.4,67.5
31-07-2019,67,69.5,66.6,69.2
30-07-2019,69.2,69.65,66.3,66.9
29-07-2019,68.85,70.3,67.65,69.3
26-07-2019,66.5,69.65,65.95,68
25-07-2019,68.4,69,65.6,66.05
24-07-2019,68.4,69.8,67.75,68.2
23-07-2019,72.8,73,68,68.4
22-07-2019,72.7,73.55,71.45,72.5
19-07-2019,73.55,73.8,72.3,72.8
18-07-2019,75.35,75.75,72.45,73.2
17-07-2019,75.8,76.15,74.4,75.35
16-07-2019,73.9,76.15,73.6,75.75
15-07-2019,75,75.25,72.7,73.45
12-07-2019,74.6,75.9,73.6,75.4
11-07-2019,73.05,74.85,72.75,74.55
10-07-2019,74.8,74.9,72,72.75
09-07-2019,71.8,74.65,71,74.35
08-07-2019,76.3,77.95,72.4,72.8
05-07-2019,82.5,83.4,80.85,81.8
04-07-2019,81.5,83.3,81.5,82.05
03-07-2019,80.4,81.6,80,81.25
02-07-2019,80.9,81.15,79.7,80.35
01-07-2019,80,81.2,78.9,80.85
28-06-2019,78.5,81.7,78,79.55
27-06-2019,79,79.85,77.7,78
26-06-2019,77.15,79.45,76.65,78.9
25-06-2019,76.7,77.55,76.3,77.1
24-06-2019,77,77.6,76.3,76.85
21-06-2019,76.85,78.15,76.25,76.9
20-06-2019,75.8,77.25,75,76.95
19-06-2019,75.25,76.3,74,75.4
18-06-2019,75.45,77.35,74.55,75.45
17-06-2019,77,77.4,75.65,75.95
14-06-2019,76.4,77.8,76.2,76.75
13-06-2019,77.15,77.95,73.6,76.2
