Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C
30-08-2019,58.25,60.95,55.5,59.95
29-08-2019,59.25,59.3,55,57.4
28-08-2019,64.5,65.15,58.05,59.5
27-08-2019,62.9,65.35,62.5,64.5
26-08-2019,62.95,64.7,57.35,62.9
23-08-2019,56.4,61.25,54.75,59.25
22-08-2019,66.4,67.7,53.2,56.3
21-08-2019,71.2,71.5,64.55,65.4
20-08-2019,76.95,76.95,70.5,71.2
19-08-2019,79.45,80.75,76,76.65
16-08-2019,79,81.45,76.85,79.45
14-08-2019,74.9,77.9,70.55,76.55
13-08-2019,84,84.2,72.85,73.6
09-08-2019,91.8,92.45,81.15,82.15
08-08-2019,89.25,89.9,84.8,89.2
07-08-2019,86.5,92,86.1,86.85
06-08-2019,80.9,86.65,79.7,85.35
05-08-2019,88,88,79.5,81.1
02-08-2019,87.8,90.9,86.8,88.3
01-08-2019,88.95,91.3,85.75,88.4
31-07-2019,86,92.35,84.75,91.2
30-07-2019,95,96.3,81.15,86.05
29-07-2019,95.7,98.7,91.35,94.75
26-07-2019,88.75,96.9,87.1,96.05
25-07-2019,88.4,90.4,85.85,87.65
24-07-2019,91.5,93.65,88.15,89.15
23-07-2019,89,93.9,87.1,90.65
22-07-2019,83.3,92.5,81.7,91.15
19-07-2019,86,86.9,82.6,83.25
18-07-2019,88.6,90.25,79.15,85.8
17-07-2019,108.5,108.5,97.55,98.4
16-07-2019,94,106.5,92.25,103.85
15-07-2019,95,99.3,92.55,93.2
12-07-2019,93.25,94.85,91.65,94.2
11-07-2019,94,95,90.7,92.45
10-07-2019,92.15,94,91.5,93
09-07-2019,95,97,90.3,91.35
08-07-2019,87,94.6,85.65,93.15
05-07-2019,95,96.85,87.4,88.15
04-07-2019,101,102.15,95.2,96.25
03-07-2019,100.75,103.8,98.85,99.75
02-07-2019,108.05,108.05,99.8,100.8
01-07-2019,109.5,110.5,107.65,109.15
28-06-2019,112.5,113,107.5,108.75
27-06-2019,113.05,114.5,111.8,112.4
26-06-2019,109,114.65,108.4,113.05
25-06-2019,111,112.5,109.1,110.05
24-06-2019,112,114,108.85,111.95
21-06-2019,114.55,114.8,108.25,109.6
20-06-2019,102,115.9,98.7,114.55
19-06-2019,109,111.45,101.3,103.2
18-06-2019,116,117.5,107.1,109.3
17-06-2019,118,118.35,113.75,116.15
14-06-2019,118.5,121,112.85,115.05
13-06-2019,130.8,130.8,116,117.1
12-06-2019,136,137.8,133.6,134.75
11-06-2019,135,143.5,133.75,139.55
10-06-2019,141.9,145,132.55,135.9
07-06-2019,143.4,145.45,136.15,139.9
06-06-2019,148.45,151.2,142.3,143.4
04-06-2019,148.8,153.85,148.55,152.8
03-06-2019,148,149.9,144.5,149.45
31-05-2019,156.6,157,147,147.8
30-05-2019,150.2,156.5,149.9,155
29-05-2019,154,156,150.65,151.7
28-05-2019,148.95,154.9,148.2,152.8
27-05-2019,142,148.45,140.85,146.8
24-05-2019,141,142.9,139.5,141.2
23-05-2019,143.9,150.8,138.75,139.75
22-05-2019,141,141.25,135.5,137.55
21-05-2019,145,145,138.5,141
20-05-2019,142.5,144.9,137,143.55
17-05-2019,141,146,132.45,134.15
16-05-2019,144,145.9,134.65,137.75
15-05-2019,154.2,154.3,141.8,142.95
14-05-2019,155.1,158.9,151.4,155.85
13-05-2019,164.9,165.45,154,154.7
10-05-2019,172.75,174.25,162.8,163.85
09-05-2019,158,171.4,156.5,170.3
08-05-2019,165,166.5,160,160.75
07-05-2019,169,169.95,163.65,164.75
06-05-2019,168.05,171.9,165.5,166.25
03-05-2019,177,177.8,169.7,175.9
02-05-2019,162,178,160,173.75
30-04-2019,213.5,213.5,165.6,168
26-04-2019,239.9,240.35,232.1,237.2
25-04-2019,241,250.4,236.05,237.05
24-04-2019,233,240.4,231.2,239.15
23-04-2019,239,244.65,230.5,232.7
22-04-2019,253.95,254.4,237,238.35
18-04-2019,266.4,267.95,254.05,255.8
16-04-2019,267.55,269.2,265,266.45
15-04-2019,268.45,269.9,264.8,265.5
12-04-2019,269.7,271.9,265.8,267.9
11-04-2019,268.75,270.25,264,269.05
10-04-2019,272,275.45,267.5,268.25
09-04-2019,261.9,272,258.7,270.6
08-04-2019,267.1,268.1,258.25,260.05
05-04-2019,270,274,264.25,266.85
04-04-2019,274,275,265,268.05
03-04-2019,283.5,286,272.2,273.7
02-04-2019,278.2,282.05,274.8,280.3
01-04-2019,276,280,273.8,275.9
29-03-2019,277.9,281.5,273.55,275.1
28-03-2019,270.65,277.7,268.3,276.1
27-03-2019,258.4,269.85,256.1,268.45
26-03-2019,247.5,254.8,247.45,253.7
25-03-2019,250,250.4,246.1,247.25
22-03-2019,253,257.5,250.35,252.6
20-03-2019,248.75,253,246.4,252.15
19-03-2019,246.65,250.5,245,248.8
18-03-2019,247,248.55,241.8,245.95
15-03-2019,251.7,252.8,243.5,245.05
14-03-2019,248,254,246.15,249.85
13-03-2019,236,247.6,232.7,244.3
12-03-2019,238,239.2,235,235.85
11-03-2019,233,238,231.6,236.3
08-03-2019,231.7,234.9,229.5,232.3
07-03-2019,235.5,236,228.65,231.7
06-03-2019,238.1,240.65,232.95,235.3
05-03-2019,236,240.75,234.5,237.45
01-03-2019,234.9,238.5,234.1,237.6
28-02-2019,230,232.75,226.8,231.15
27-02-2019,233,236.8,223.65,228.2
26-02-2019,223.2,234.45,220.1,229.5
25-02-2019,223.85,230.6,221.2,229.1
22-02-2019,214.5,223.7,213.1,222
21-02-2019,218.85,218.85,214,215.15
20-02-2019,216.9,219.8,213.35,217.85
19-02-2019,215.1,218.1,211.55,212.85
18-02-2019,201,216.7,201,213.55
15-02-2019,226.9,226.9,211.3,219
14-02-2019,186.35,224,186.35,221.25
13-02-2019,173.95,174.7,168.1,169.45
12-02-2019,173,176.25,172.1,172.65
11-02-2019,175.1,176,170.1,173.25
08-02-2019,177,178.5,173.25,175.1
07-02-2019,177.1,181.8,175.25,176.95
06-02-2019,178.9,178.95,173,176.45
05-02-2019,179.8,183.5,175,176.1
04-02-2019,184.25,184.7,175.6,179.8
01-02-2019,195.9,197.2,181.25,185.6
31-01-2019,202,202.45,190.15,194.1
30-01-2019,211,212,198.3,199.5
29-01-2019,207,209.45,195.7,202.9
28-01-2019,222.45,223,206.1,207.5
25-01-2019,225,245,218,219.6
24-01-2019,199,235,189,215.4
23-01-2019,194.5,199.5,193.65,197.25
22-01-2019,191.5,193.8,187.4,192.2
21-01-2019,199.3,200.5,190.7,191.95
18-01-2019,202,203.05,196.2,198.6
17-01-2019,209.25,209.55,200.25,201.5
16-01-2019,204.8,209.15,203.5,208.35
15-01-2019,196.6,205,196.1,203
14-01-2019,185,198,182.3,195.35
11-01-2019,188.7,189.9,182.75,184.25
10-01-2019,188,188.9,184.2,186.9
09-01-2019,193.95,193.95,181.5,186.45
08-01-2019,188,193.2,185,192.35
07-01-2019,193.9,194.4,185.8,187.15
04-01-2019,184.85,190.3,181.55,189.65
03-01-2019,185.25,186,183.5,184.1
02-01-2019,183.45,187,182.5,184.65
01-01-2019,182.6,185.9,181,184.25
31-12-2018,183.2,183.85,181,181.8
28-12-2018,180,183.3,180,181.45
27-12-2018,183,183.45,177.05,178.1
26-12-2018,182.5,182.65,174.25,179.45
24-12-2018,184,185.5,181.25,182.3
21-12-2018,188,188.45,180.85,182.95
20-12-2018,179,187.6,178,186.75
19-12-2018,180.5,183.15,178.6,179.55
18-12-2018,180,180.9,176.75,179
17-12-2018,183.25,184.45,179.45,181
14-12-2018,172.7,181.6,168.25,180.35
13-12-2018,193,193.2,172.3,174.7
12-12-2018,182,187.5,181.55,186.6
11-12-2018,164.5,179.85,163.8,177.85
10-12-2018,162,169.5,160,165.65
07-12-2018,170,172,162,166.2
06-12-2018,169,172.5,167.35,168.45
05-12-2018,173.5,178.45,172.2,173.4
04-12-2018,180.35,182.45,175.25,176.5
03-12-2018,174,179.5,165.3,178
30-11-2018,164,171.35,160.45,169.8
29-11-2018,157.05,167,146.75,160.45
28-11-2018,180.4,181,160.3,162.1
27-11-2018,193,193.8,180.35,182.65
26-11-2018,189,191.95,182.2,187.9
22-11-2018,200,203.85,194.65,195.55
21-11-2018,196.1,200.8,194.6,198.15
20-11-2018,198,199.75,191,192.1
19-11-2018,198.1,205.95,194.35,204.8
16-11-2018,201.75,201.75,187.8,191
15-11-2018,215,217.95,202.25,205.85
14-11-2018,226.9,229,221,222.4
13-11-2018,222,226.85,220,225.45
12-11-2018,230,230.85,221.1,223.05
09-11-2018,214,229.4,213.2,227.9
07-11-2018,217.45,218,215.5,215.95
06-11-2018,212.25,217.9,211,214.45
05-11-2018,209,212.35,206.1,210.1
02-11-2018,212.75,215.9,207.65,209.1
01-11-2018,192,205.75,189.05,204.05
31-10-2018,185,189.5,179.65,188.1
30-10-2018,182,189.9,180.65,182.05
29-10-2018,185,185.9,174.75,181.3
26-10-2018,178.55,191.65,168.6,180.7
25-10-2018,202.6,207.5,195,198.35
24-10-2018,217.5,220,202,204
23-10-2018,209,216.7,206.5,213.2
22-10-2018,221,222.35,208.5,211.5
19-10-2018,225,230.55,213,217.9
17-10-2018,252.5,254.85,228.5,231.9
16-10-2018,247,251.4,245.6,248.9
15-10-2018,248.95,250.6,241.55,246
12-10-2018,247,254.4,244.5,246.45
11-10-2018,222,268.95,216.65,240.2
10-10-2018,229,237,219.4,233.9
09-10-2018,225.5,233.8,222.6,224.65
08-10-2018,210,226.6,207.4,221.2
05-10-2018,215,218.5,203.1,206
