Date,RELIANCE-EQ O,RELIANCE-EQ H,RELIANCE-EQ L,RELIANCE-EQ C,RELIANCE-EQ V
10-01-2019 15:15,1107.5,1108.5,1106.6,1108,380592
10-01-2019 14:45,1104.5,1108.5,1104,1107.4,599154
10-01-2019 14:15,1105.4,1105.6,1103,1104.55,287754
10-01-2019 13:45,1105.05,1107.5,1103.5,1105.5,215509
10-01-2019 13:15,1105.5,1106,1103,1105,243435
10-01-2019 12:45,1105.3,1106,1104,1105.5,198582
10-01-2019 12:15,1105.5,1106,1104.55,1105.25,206944
10-01-2019 11:45,1105.5,1105.95,1104.05,1105.5,166389
10-01-2019 11:15,1105.35,1106,1103.9,1105.5,266677
10-01-2019 10:45,1105.35,1106.95,1105,1105.45,258760
10-01-2019 10:15,1107.35,1107.45,1105.3,1105.4,352101
10-01-2019 09:45,1106.95,1109.7,1106.1,1107.45,291889
10-01-2019 09:15,1107.3,1110.7,1104.65,1106.95,602451
09-01-2019 15:15,1111.3,1112.45,1107.35,1109.25,340767
09-01-2019 14:45,1107.5,1112.45,1105.6,1111.45,571658
09-01-2019 14:15,1105.5,1108,1101.65,1107.2,402649
09-01-2019 13:45,1113.75,1114.35,1099,1105.25,914149
09-01-2019 13:15,1114.95,1117,1113.9,1114.05,338778
09-01-2019 12:45,1113.25,1115.75,1113.15,1114.95,357640
09-01-2019 12:15,1112.3,1114,1110.25,1113.25,221884
09-01-2019 11:45,1111.95,1113.25,1110.7,1112.3,190931
09-01-2019 11:15,1109.05,1113.5,1108.7,1111.95,251233
09-01-2019 10:45,1111.35,1112.3,1107.05,1108.6,528661
09-01-2019 10:15,1113,1114.55,1110.4,1111.3,383106
09-01-2019 09:45,1114,1114.5,1111.4,1113,431939
09-01-2019 09:15,1111.5,1115.8,1108,1114,821243
08-01-2019 15:15,1105.15,1106,1100,1101,511901
08-01-2019 14:45,1107,1107.5,1104.25,1105,824468
08-01-2019 14:15,1107.65,1109.9,1106.7,1106.75,336618
08-01-2019 13:45,1103.25,1109.95,1103.05,1108.15,603792
08-01-2019 13:15,1100.85,1105,1100,1103.25,340226
08-01-2019 12:45,1102.3,1104,1100.55,1100.55,148948
08-01-2019 12:15,1102.05,1103.9,1100.7,1102.3,177884
08-01-2019 11:45,1102,1102.05,1099.5,1102,169155
08-01-2019 11:15,1100.9,1104,1100,1101.85,232086
08-01-2019 10:45,1104.5,1104.5,1099,1100.9,477263
08-01-2019 10:15,1106.05,1108.75,1104.05,1104.15,418831
08-01-2019 09:45,1098.5,1107.75,1098,1106,736056
08-01-2019 09:15,1104.75,1105.1,1096,1098.5,635035
07-01-2019 15:15,1104.9,1106.8,1103.35,1105.5,520217
07-01-2019 14:45,1108.35,1108.95,1101,1104.9,817452
07-01-2019 14:15,1111.25,1112,1107.3,1108.35,292264
07-01-2019 13:45,1110.35,1112,1107,1111.25,286421
07-01-2019 13:15,1111.55,1113.45,1108.75,1110.35,240429
07-01-2019 12:45,1109.9,1112,1109.45,1111.55,161704
07-01-2019 12:15,1111.95,1112.15,1108.4,1110,296572
07-01-2019 11:45,1108.95,1112.25,1108.9,1111.95,248055
07-01-2019 11:15,1113,1113.6,1106,1108.95,438983
07-01-2019 10:45,1115.6,1116.5,1110.5,1113,413989
07-01-2019 10:15,1116.75,1118.4,1115,1115.6,485302
07-01-2019 09:45,1112.7,1116.8,1110.05,1116.8,610984
07-01-2019 09:15,1108,1113.7,1107.05,1112.65,679049
04-01-2019 15:15,1098.05,1099.95,1095.95,1099.95,423273
04-01-2019 14:45,1097,1101,1094.8,1098.3,697820
04-01-2019 14:15,1091.65,1098,1089.3,1097.15,543605
04-01-2019 13:45,1102.5,1102.5,1091.35,1091.7,478218
04-01-2019 13:15,1095.65,1104.45,1094.1,1102.5,607754
04-01-2019 12:45,1097.35,1100,1094,1095.65,587578
04-01-2019 12:15,1092.2,1099,1091.8,1097.45,769974
04-01-2019 11:45,1092.85,1093.5,1090.7,1092.25,471852
04-01-2019 11:15,1090.1,1093.3,1090.1,1092.55,388660
04-01-2019 10:45,1087.7,1093.8,1084.75,1090.15,626472
04-01-2019 10:15,1087.9,1090.5,1084.85,1087.7,503323
04-01-2019 09:45,1084.75,1088.25,1081.4,1087.75,590540
04-01-2019 09:15,1097.85,1097.85,1083.65,1084.75,1761936
03-01-2019 15:15,1091.85,1093.1,1090.3,1090.3,494047
03-01-2019 14:45,1093.7,1096.5,1090.1,1091.9,708624
03-01-2019 14:15,1095,1098.3,1092.9,1093.65,675441
03-01-2019 13:45,1098.55,1099.65,1094,1095,727168
03-01-2019 13:15,1102.7,1105.7,1096.05,1098.6,675123
03-01-2019 12:45,1102.35,1104.45,1100.6,1102.7,246407
03-01-2019 12:15,1100.45,1104.65,1099.4,1102.6,349973
03-01-2019 11:45,1102,1103.55,1099.25,1100.3,452223
03-01-2019 11:15,1105.15,1106,1100.25,1102,501567
03-01-2019 10:45,1106.75,1107.6,1104.3,1105.15,347324
03-01-2019 10:15,1110.65,1114.6,1105.65,1106.75,668148
03-01-2019 09:45,1110.75,1111.25,1106.35,1110.7,538349
03-01-2019 09:15,1108,1111,1102,1110.4,1049975
02-01-2019 15:15,1106.2,1107.7,1103.7,1104.35,446533
02-01-2019 14:45,1108,1109.75,1104.15,1106.9,597083
02-01-2019 14:15,1104.45,1109.25,1101.1,1107.65,558858
02-01-2019 13:45,1105.25,1107.35,1101,1104.45,547152
02-01-2019 13:15,1112.15,1112.65,1103,1105.2,796986
02-01-2019 12:45,1114,1114,1110.3,1112.15,624877
02-01-2019 12:15,1121.4,1121.7,1114,1114.05,699727
02-01-2019 11:45,1123,1124.15,1120.1,1121.4,311192
02-01-2019 11:15,1121.5,1124.45,1121.25,1122.75,219380
02-01-2019 10:45,1122.1,1124.4,1121,1121.25,269721
02-01-2019 10:15,1118.7,1126.9,1118.7,1122.1,590212
02-01-2019 09:45,1116.85,1120.95,1114.15,1118.7,486598
02-01-2019 09:15,1114.4,1121.15,1113.1,1116.8,988242
01-01-2019 15:15,1120.9,1121.5,1119.35,1120.05,533723
01-01-2019 14:45,1120.25,1123.65,1118.65,1120.95,860277
01-01-2019 14:15,1113.05,1121,1113,1120.3,716338
01-01-2019 13:45,1113,1116.5,1112.4,1113,288628
01-01-2019 13:15,1118.25,1118.7,1111.65,1113.2,363010
01-01-2019 12:45,1117.1,1118.65,1117,1118.25,98714
01-01-2019 12:15,1119.75,1120.25,1116.45,1117.4,152950
01-01-2019 11:45,1119,1120.3,1118.5,1119.75,79003
01-01-2019 11:15,1120.2,1120.75,1118.5,1119,91944
01-01-2019 10:45,1118.7,1120.75,1117.1,1120.2,170880
01-01-2019 10:15,1118.6,1120,1117.5,1118.7,160479
01-01-2019 09:45,1120.6,1121,1115.45,1118.6,311818
01-01-2019 09:15,1125.25,1126.75,1118,1120.6,618631
31-12-2018 15:15,1121,1125.65,1120.55,1125.45,647636
31-12-2018 14:45,1120.35,1123.15,1118,1121,900510
31-12-2018 14:15,1123.3,1123.45,1119.1,1120.45,386463
31-12-2018 13:45,1121.25,1123.95,1120.7,1123.25,520145
31-12-2018 13:15,1119.15,1121.4,1118.5,1121.35,392699
31-12-2018 12:45,1119.8,1120.05,1118,1119.2,268459
31-12-2018 12:15,1118.35,1119.9,1116.35,1119.8,401083
31-12-2018 11:45,1118.95,1120.5,1116.2,1118.25,536523
31-12-2018 11:15,1121.95,1122,1116.3,1118.95,861655
31-12-2018 10:45,1122.3,1124.2,1121.3,1121.85,376730
31-12-2018 10:15,1128.25,1129.4,1120.8,1122.3,653547
31-12-2018 09:45,1127.6,1129.3,1126,1128,312171
31-12-2018 09:15,1130.65,1133.3,1125.1,1127.6,953417
28-12-2018 15:15,1123,1127.4,1122.25,1125.6,586211
28-12-2018 14:45,1131.85,1131.95,1122.85,1123.05,950858
28-12-2018 14:15,1130.35,1132.05,1130,1131.65,447580
28-12-2018 13:45,1131.45,1133,1130.3,1130.3,375122
28-12-2018 13:15,1130.1,1132.7,1130,1131.45,452076
28-12-2018 12:45,1130.5,1131.4,1129.1,1130.1,273121
28-12-2018 12:15,1133,1133.25,1128.85,1130.55,339511
28-12-2018 11:45,1129.15,1133.7,1128.55,1133.2,713079
